0,1,2,3,4,5,6
Haldiram,Cheese Melt Paneer Wrap,Rs. 170,10,1,static/img/mumbai/restaurants/haldiram/CheeseMeltPaneerWrap.jpg,"You asked for a surprise, here it is! Cottage cheese is seasoned with select spices, slathered with creamy, gooey cheese & snuggly wrapped in soft roti."
Haldiram,Masala Paneer Tikka Wrap,Rs. 150,15,1,static/img/mumbai/restaurants/haldiram/MasalaPaneerTikkaWrap.jpg,"We dont have any pun for paneer. Fresh paneer is smoked to perfection & drizzled with minty, spicy mayonnaise & wrapped in soft roti."
Haldiram,Paneer Signature Rice Bowl,Rs. 180,15,2,static/img/mumbai/restaurants/haldiram/PaneerSignatureRiceBowl.jpg,Let your taste buds fall in love with this unique rice bowl made with flavorful paneer tikka chunks cooked in spiced onion-tomato gravy.
Haldiram,Rajma Masala Rice Bowl,Rs. 180,20,2,static/img/mumbai/restaurants/haldiram/RajmaMasalaRiceBowl.jpg,A large-sized wholesome bowl of your all-time favourite rajma slow-cooked in a mildly spiced onion-tomato gravy and served over a bowl of flavourful rice.
Haldiram,Veg Rice Bowl,Rs. 155,15,2,static/img/mumbai/restaurants/haldiram/VegRiceBowl.jpg,"Get clean bowled with these exciting flavour combinations! A bowl meal of fragrant rice topped with tangy chole or spicy paneer tikka, take your pick of deliciousness!"
Haldiram,Chocolate Fantasy,Rs. 99,5,1,static/img/mumbai/restaurants/haldiram/ChocolateFantasy.jpg,A perfect match between Chocolate Cake on the outside and Melted Chocolate on the inside.
Baskin Robbins,Hazelnut Rocher Ice cream,Rs. 377,5,1,static/img/mumbai/restaurants/baskinrobbins/Hazelnut Rocher Ice cream.jpg,Love at first bite! Rich and creamy rocher ice cream tossed with crunchy caramalised hazelnut pieces. We know you can not wait to try!
Baskin Robbins,Very Berry Chocolate Ice cream,Rs. 377,5,1,static/img/mumbai/restaurants/baskinrobbins/Very Berry Chocolate Ice cream.jpg,A match made in heaven. Luscious assortment of berries swirled with rich chocolate mixture. Try our latest delicacy and fall in love with it.
Baskin Robbins,Raspberry Sorbet,Rs. 377,5,2,static/img/mumbai/restaurants/baskinrobbins/Raspberry Sorbet.jpg,Sweet and juicy raspberries swirled into a summer fresh sorbet. A refreshing treat to welcome this summer!
Baskin Robbins,Malted Chocolate Fudge Ice cream,Rs. 104,5,2,static/img/mumbai/restaurants/baskinrobbins/Malted Chocolate Fudge Ice cream.jpg,A unique union of malt flavoured ice cream and chocolate chips blessed by a chocolate ribbon. Surprise yourself with this Malted Chocolate Fudge delight!
Baskin Robbins,Dairy Free Mississippi Mud,Rs. 208,5,2,static/img/mumbai/restaurants/baskinrobbins/Dairy Free Mississippi Mud.jpg,Delectable chocolate fudge married with brownie pieces in creamy coconut milk.
